system,dataset,mape_mean_baseline,mae_mean_baseline,rmse_mean_baseline,mape_mean_improved,mae_mean_improved,rmse_mean_improved,mape_difference,mape_improvement_percent,mae_difference,mae_improvement_percent,rmse_difference,rmse_improvement_percent
lrzip,uiq2-4.bin.csv,1.2342937468827349,7.008958434714966,10.520166520747539,1.2902892425153532,7.111992749898141,10.627527491283793,-0.0559954956326183,-4.536642575889044,-0.10303431518317474,-1.4700374690888696,-0.10736097053625393,-1.02052539115726
lrzip,uiq2-8.bin.csv,1.502705160810405,14.537229211011745,21.13715724869373,1.6535836932015868,15.28151864824383,22.198816954503968,-0.15087853239118187,-10.0404614508553,-0.7442894372320854,-5.1198851337385305,-1.0616597058102393,-5.022717545784685
lrzip,vmlinux-5.10.tar.csv,0.7847844567473543,4.575782584873521,6.724194336381597,0.8184262173307407,4.5866761757556676,6.7665744399751615,-0.033641760583386415,-4.286751641695257,-0.010893590882146142,-0.23807055252489123,-0.04238010359356448,-0.6302629203362663
x264,Johnny_1280x720_60_short.y4m.csv,0.882598043986383,2.582230321640906,3.3628959853417024,0.12753139174473305,0.9873996603647662,2.4988535650109776,0.7550666522416499,85.55045610924778,1.5948306612761396,61.76175099139443,0.8640424203307249,25.693403069763093
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7795124026083406,8.756717808837818,11.296347645712078,0.12234572343957316,3.404500223955184,8.254041141852808,0.6571666791687675,84.30483940599407,5.352217584882634,61.12127513668246,3.0423065038592707,26.93177121734638
x264,blue_sky_1080p25_short.y4m.csv,0.7806976476016211,3.1587433241968315,4.075705667075733,0.12272800411687726,1.208130323652294,3.0075159276340595,0.6579696434847438,84.27970104765788,1.9506130005445375,61.75281750822589,1.068189739441673,26.208706582290713
x264,pedestrian_area_1080p25_short.y4m.csv,0.7137683607228262,3.5874375762335853,4.635317687258887,0.12306600407167398,1.4078459708784443,3.4698013624895734,0.5907023566511522,82.75827133230642,2.179591605355141,60.756223879537785,1.1655163247693134,25.14425986320144
x264,riverbed_1080p25_short.y4m.csv,0.6596999200418006,6.698200538152041,8.852068488780178,0.12541365296939416,2.7013681289780918,6.763651254901431,0.5342862670724065,80.98928783234543,3.9968324091739493,59.670241080548934,2.0884172338787472,23.59242064751052
x264,sd_bridge_close_cif_short.y4m.csv,0.519490739739723,0.14203230152816287,0.18191790827369206,0.09458556919584583,0.055446471415319415,0.12738689196873204,0.4249051705438772,81.79263614145742,0.08658583011284346,60.962069318911084,0.05453101630496002,29.97561747627349
x264,sd_city_4cif_short.y4m.csv,0.8266539484044951,1.4857680096729429,1.908805980308876,0.1219475557471213,0.5403981108830425,1.3859963006253895,0.7047063926573738,85.24805258808847,0.9453698987899004,63.62836544030864,0.5228096796834865,27.38935675373813
x264,sd_crew_cif_short.y4m.csv,0.6225005096411255,0.246882565748176,0.3192554493112624,0.107445519912469,0.09412295057532183,0.231322912396723,0.5150549897286565,82.73968964709574,0.15275961517285416,61.87541623683194,0.08793253691453937,27.54300266580833
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.5132428783562796,0.3721881180271825,0.4685830281263562,0.10044195904921721,0.15410194853077733,0.36640420663631185,0.41280091930706236,80.4299361403914,0.21808616949640516,58.59568291765762,0.10217882149004437,21.805915997130658
xz,ambivert.wav.tar.csv,1.3522453385015942,13.196293106450431,17.08054498843484,0.026585630973047916,0.5848901110315936,1.4427808771504727,1.3256597075285463,98.03396394011556,12.611402995418837,95.56776962808065,15.637764111284369,91.55307469329946
xz,artificl.tar.csv,0.2928690933197788,0.006410548434622138,0.007639469027063908,0.2952854323618988,0.006401604197669232,0.007708954923540411,-0.0024163390421200193,-0.8250577125533898,8.944236952906394e-06,0.13952374034958212,-6.948589647650348e-05,-0.9095644766716088
xz,deepfield.tar.csv,0.6190310483822254,5.7312397284203795,7.931751397455259,0.02637831102246435,0.36851930317260634,0.6623491920647993,0.5926527373597611,95.73877415496341,5.362720425247773,93.56998972935693,7.26940220539046,91.64939546293269
xz,enwik8.tar.csv,2.0165013256624724,71.83123560137234,94.18687532837501,0.07344033453105833,9.760108085380704,33.2000961680199,1.943060991131414,96.3580319240836,62.071127515991634,86.41244577840139,60.98677916035511,64.750825364712
xz,fannie_mae_500k.tar.csv,0.9221235378952368,30.32978645799726,36.12320348223604,0.026538438433065737,1.0698810519479922,2.1364235095257613,0.8955850994621711,97.12203003800985,29.259905406049267,96.4725071393772,33.98677997271028,94.08573076699477
xz,large.tar.csv,0.4341425123816111,1.868793592738721,2.2998211586124317,0.02343785875565899,0.1103576909155124,0.19363010704097286,0.4107046536259521,94.60134446933472,1.7584359018232085,94.09470947758426,2.106191051571459,91.5806450290336
xz,misc.tar.csv,0.2280031806075415,0.08772031609841766,0.11745139684638158,0.04604709231924379,0.020434002678227554,0.04984838242099276,0.1819560882882977,79.80418860976157,0.0672863134201901,76.70550724497886,0.06760301442538882,57.55828899490141
xz,silesia.tar.csv,0.9542769520330743,62.002902587544,78.07471765731151,0.024366047751976934,2.650716039860702,5.513747980355946,0.9299109042810974,97.44664819787742,59.352186547683296,95.72485169364762,72.56096967695557,92.93785729132304
xz,uiq-32.bin.csv,1.20956595346457,73.0393951841795,92.84612868734482,0.06397556655401605,10.674588643437575,30.04844612996074,1.145590386910554,94.71086579687777,62.364806540741924,85.3851628747472,62.79768255738408,67.63629614418547
