system,dataset,paired_runs,mape_median_baseline,mape_median_improved,mape_median_difference,mape_p_value,mape_significant_0_05,mape_better,mae_median_baseline,mae_median_improved,mae_median_difference,mae_p_value,mae_significant_0_05,mae_better,rmse_median_baseline,rmse_median_improved,rmse_median_difference,rmse_p_value,rmse_significant_0_05,rmse_better
x264,blue_sky_1080p25_short.y4m.csv,30,0.7806939650416005,0.12386256045308416,0.6541741614701573,1.862645149230957e-09,True,improved_v8,3.163668009182701,1.2065631974393547,1.944586135096583,1.862645149230957e-09,True,improved_v8,4.082887976112279,2.9810849406005024,1.089441500946434,1.862645149230957e-09,True,improved_v8
x264,pedestrian_area_1080p25_short.y4m.csv,30,0.713015545659895,0.12358278886964037,0.5905227979651566,1.862645149230957e-09,True,improved_v8,3.5887920842504397,1.4094216989838582,2.193746747742309,1.862645149230957e-09,True,improved_v8,4.638475012219374,3.4596021675006994,1.2154766770542036,1.862645149230957e-09,True,improved_v8
x264,riverbed_1080p25_short.y4m.csv,30,0.6568511528542366,0.12497835721678889,0.5312370262470945,1.862645149230957e-09,True,improved_v8,6.7049956204885675,2.6949231923214816,4.003794858006964,1.862645149230957e-09,True,improved_v8,8.854637831260268,6.695405242552226,2.0445543270872113,1.862645149230957e-09,True,improved_v8
x264,sd_bridge_close_cif_short.y4m.csv,30,0.5145590846971415,0.09477135006738921,0.42289246474181014,1.862645149230957e-09,True,improved_v8,0.1421903604671893,0.05525208278302058,0.08677746648450203,1.862645149230957e-09,True,improved_v8,0.18200459926644108,0.12631398547287226,0.055524362963548915,1.862645149230957e-09,True,improved_v8
x264,sd_city_4cif_short.y4m.csv,30,0.8255372291240628,0.12222949989729312,0.7058057444571468,1.862645149230957e-09,True,improved_v8,1.4851985432983525,0.5415763540659381,0.9458156613851663,1.862645149230957e-09,True,improved_v8,1.9112134323269032,1.387905301953012,0.5332692643448703,1.862645149230957e-09,True,improved_v8
x264,sd_crew_cif_short.y4m.csv,30,0.6221334353650754,0.10757211324349839,0.5158210275236341,1.862645149230957e-09,True,improved_v8,0.2467613654368338,0.09468567957069068,0.15307068833849474,1.862645149230957e-09,True,improved_v8,0.3191766965238195,0.23217124843843068,0.08841638791170858,1.862645149230957e-09,True,improved_v8
x264,sintel_trailer_2k_720p24_short.y4m.csv,30,0.5078655832973441,0.10077257554867589,0.40980244206758226,1.862645149230957e-09,True,improved_v8,0.3727510416280563,0.15346121841035826,0.21869031435593084,1.862645149230957e-09,True,improved_v8,0.4688781058812939,0.363722247103122,0.10551402910634619,1.862645149230957e-09,True,improved_v8
xz,ambivert.wav.tar.csv,30,1.3551705133905987,0.02631318183777506,1.3294576347576892,1.862645149230957e-09,True,improved_v8,13.227826824219974,0.5830871589724798,12.700903362815758,1.862645149230957e-09,True,improved_v8,16.976631095594495,1.4673945754836624,15.604084443737413,1.862645149230957e-09,True,improved_v8
xz,artificl.tar.csv,30,0.2949405366716559,0.29469428737011677,-0.0009519733666270569,0.0012321043759584427,True,baseline_lr,0.006414965801151388,0.006395446719821975,4.786443812688406e-05,0.0020201820880174637,True,improved_v8,0.007661660554389105,0.007649104988911276,5.215829478615822e-06,0.6554384250193834,False,improved_v8
xz,deepfield.tar.csv,30,0.6222835005540976,0.0261306271812383,0.5952209401200829,1.862645149230957e-09,True,improved_v8,5.723157840547173,0.36998644426065475,5.348185098142727,1.862645149230957e-09,True,improved_v8,7.765232212264369,0.6488760479336129,7.088767374172237,1.862645149230957e-09,True,improved_v8
xz,enwik8.tar.csv,30,2.0102521439707477,0.07326054089508532,1.9369063303709693,1.862645149230957e-09,True,improved_v8,71.86481491337459,9.881538934884896,62.002905336358594,1.862645149230957e-09,True,improved_v8,94.30477412230523,33.66789213304058,61.43209889835509,1.862645149230957e-09,True,improved_v8
xz,fannie_mae_500k.tar.csv,30,0.9272860112116614,0.02608750313786732,0.9002464696456003,1.862645149230957e-09,True,improved_v8,30.386253293516248,1.050924352583744,29.26499980242029,1.862645149230957e-09,True,improved_v8,36.00959046779968,2.079912335502205,33.817275706447575,1.862645149230957e-09,True,improved_v8
xz,large.tar.csv,30,0.4329195939472014,0.02323222170369546,0.4062409200637662,1.862645149230957e-09,True,improved_v8,1.8659457407732443,0.10852065393373006,1.7579580738078135,1.862645149230957e-09,True,improved_v8,2.2898005656716123,0.1897734436126648,2.108149538267391,1.862645149230957e-09,True,improved_v8
xz,misc.tar.csv,30,0.22938185139514644,0.045468830349799934,0.1827110667733367,1.862645149230957e-09,True,improved_v8,0.08730244464056583,0.020902395118979938,0.06771305441142958,1.862645149230957e-09,True,improved_v8,0.11787048741771046,0.050901511833208166,0.06804823581566909,1.862645149230957e-09,True,improved_v8
xz,silesia.tar.csv,30,0.9574462476406849,0.02421243179081789,0.9335190388087307,1.862645149230957e-09,True,improved_v8,62.14195576525249,2.655565714775571,59.510611166278906,1.862645149230957e-09,True,improved_v8,77.99223686215785,5.550392712598146,72.58101571234431,1.862645149230957e-09,True,improved_v8
xz,uiq-32.bin.csv,30,1.2167820301346834,0.06426964593190279,1.1502521672826254,1.862645149230957e-09,True,improved_v8,72.77824419731562,10.684517532141967,62.38822443007214,1.862645149230957e-09,True,improved_v8,92.59778910464422,30.0477434483415,62.30663611405528,1.862645149230957e-09,True,improved_v8
