approach,chosen_model,system,dataset,repeat,num_rows,num_features,mape,mae,rmse
improved_v8,cart,batlik,flame.csv,6,1919,11,0.021197822358464596,0.03787309854497355,0.04773328252202476
baseline_lr,linear_regression,batlik,flame.csv,7,1919,11,0.03279275698815888,0.058435189622384046,0.07732403262259684
improved_v8,cart,batlik,flame.csv,7,1919,11,0.020674751643472485,0.037333781236125005,0.047777989142290596
baseline_lr,linear_regression,batlik,flame.csv,8,1919,11,0.03378889622973777,0.061343970652834846,0.08056735281317283
improved_v8,cart,batlik,flame.csv,8,1919,11,0.022211211337242198,0.04017438083714126,0.05054900069860879
baseline_lr,linear_regression,batlik,flame.csv,9,1919,11,0.03110269268910014,0.05611669258685462,0.07369484569122324
improved_v8,cart,batlik,flame.csv,9,1919,11,0.021537255131249728,0.03913101221694973,0.05017324167859113
baseline_lr,linear_regression,batlik,flame.csv,10,1919,11,0.032301488950659964,0.057590407320460425,0.07646615977012546
improved_v8,cart,batlik,flame.csv,10,1919,11,0.020666872494192585,0.03718295304232807,0.04812272920287105
baseline_lr,linear_regression,batlik,flame.csv,11,1919,11,0.032693645900374296,0.058653723157416446,0.07701036024452106
improved_v8,cart,batlik,flame.csv,11,1919,11,0.02079292152954518,0.03782352543290045,0.04989922463899353
baseline_lr,linear_regression,batlik,flame.csv,12,1919,11,0.032210468413931236,0.057454783616004965,0.07511020766435875
improved_v8,cart,batlik,flame.csv,12,1919,11,0.020309615347145468,0.03661921296296298,0.0466921724735644
baseline_lr,linear_regression,batlik,flame.csv,13,1919,11,0.03278725579570201,0.05956666082884089,0.07921244651996061
improved_v8,cart,batlik,flame.csv,13,1919,11,0.021067587631656545,0.038131614720156394,0.04873027699602175
baseline_lr,linear_regression,batlik,flame.csv,14,1919,11,0.03190502709250273,0.057487016321058224,0.0753899892313666
improved_v8,cart,batlik,flame.csv,14,1919,11,0.02072905592969522,0.03797459716209718,0.04819225009521404
baseline_lr,linear_regression,batlik,flame.csv,15,1919,11,0.03262724854037069,0.058818644821393255,0.0811928831107942
improved_v8,cart,batlik,flame.csv,15,1919,11,0.020023985490941847,0.036122960758377426,0.047427976414313046
baseline_lr,linear_regression,batlik,flame.csv,16,1919,11,0.03190936943658565,0.05755551218225942,0.07591271566826857
improved_v8,cart,batlik,flame.csv,16,1919,11,0.02064302054156077,0.037463565624870784,0.04672945748664872
baseline_lr,linear_regression,batlik,flame.csv,17,1919,11,0.03284926731823101,0.058362862051358794,0.07786587301354031
improved_v8,cart,batlik,flame.csv,17,1919,11,0.021100273255895367,0.03757698199755493,0.04909654805440224
baseline_lr,linear_regression,batlik,flame.csv,18,1919,11,0.03244369720709159,0.05847287512893261,0.07820958375284649
improved_v8,cart,batlik,flame.csv,18,1919,11,0.020541196122927638,0.03694673276183696,0.04720208914223731
baseline_lr,linear_regression,batlik,flame.csv,19,1919,11,0.03268570286282683,0.059264203192441446,0.07744121343151968
improved_v8,cart,batlik,flame.csv,19,1919,11,0.01902445735403009,0.03462534133497677,0.04518026709933385
baseline_lr,linear_regression,batlik,flame.csv,20,1919,11,0.03206862559355658,0.05741420967715199,0.07655522130331677
improved_v8,cart,batlik,flame.csv,20,1919,11,0.021744820331009218,0.03932390622494792,0.05025437108953362
baseline_lr,linear_regression,batlik,flame.csv,21,1919,11,0.030597880882642925,0.0552663891085678,0.07337003328990735
improved_v8,cart,batlik,flame.csv,21,1919,11,0.020873291408875966,0.03787768587508172,0.04839211762357514
baseline_lr,linear_regression,batlik,flame.csv,22,1919,11,0.031803000902562606,0.057111562952901526,0.07684670711507396
improved_v8,cart,batlik,flame.csv,22,1919,11,0.020993096000331793,0.03771600062745897,0.0469627221289447
baseline_lr,linear_regression,batlik,flame.csv,23,1919,11,0.03224425866737785,0.05868583991009083,0.07713644075683929
improved_v8,cart,batlik,flame.csv,23,1919,11,0.02030789064698377,0.03733262223887226,0.04932320367874391
baseline_lr,linear_regression,batlik,flame.csv,24,1919,11,0.03144178986208353,0.056561416868767735,0.07608632084468592
improved_v8,cart,batlik,flame.csv,24,1919,11,0.0202271398205965,0.036375608910765196,0.046565422493609565
baseline_lr,linear_regression,batlik,flame.csv,25,1919,11,0.030796195785041582,0.055329464616691276,0.07620502396890129
improved_v8,cart,batlik,flame.csv,25,1919,11,0.02199766622823414,0.03967697999338625,0.051020063988361446
baseline_lr,linear_regression,batlik,flame.csv,26,1919,11,0.030921895218262815,0.055217257352549565,0.07403671782701035
improved_v8,cart,batlik,flame.csv,26,1919,11,0.02100331519119788,0.037322828406161745,0.047317063222542574
baseline_lr,linear_regression,batlik,flame.csv,27,1919,11,0.03259373647986609,0.05943244538282212,0.0779231167418015
improved_v8,cart,batlik,flame.csv,27,1919,11,0.020931776143767962,0.038124065556357244,0.048890589037651054
baseline_lr,linear_regression,batlik,flame.csv,28,1919,11,0.0326559929371755,0.05904298092231118,0.07757521124295456
improved_v8,cart,batlik,flame.csv,28,1919,11,0.020567355583682875,0.036955395973625155,0.04725264694332359
baseline_lr,linear_regression,batlik,flame.csv,29,1919,11,0.031093612522354066,0.05676599952582544,0.07733130761222419
improved_v8,cart,batlik,flame.csv,29,1919,11,0.019413840577626084,0.035582341269841306,0.046175142439724676
baseline_lr,linear_regression,batlik,flame.csv,30,1919,11,0.03206670173557666,0.057766079222612884,0.07721963461556074
improved_v8,cart,batlik,flame.csv,30,1919,11,0.021251069687743436,0.03851266126965142,0.048942794421715285
baseline_lr,linear_regression,batlik,france.csv,1,1919,11,0.04076779260126448,0.14996583728107563,0.1966693565907827
improved_v8,cart,batlik,france.csv,1,1919,11,0.023835279433205434,0.0847608888989097,0.10803208930053303
baseline_lr,linear_regression,batlik,france.csv,2,1919,11,0.04028077239010257,0.14657409318316772,0.19206670809767007
improved_v8,cart,batlik,france.csv,2,1919,11,0.02377818744017668,0.08287789072424492,0.10436870460729164
baseline_lr,linear_regression,batlik,france.csv,3,1919,11,0.039282277333075835,0.1458285219781933,0.193080121410683
improved_v8,cart,batlik,france.csv,3,1919,11,0.023986504199878293,0.08495090254835319,0.10833924917234534
baseline_lr,linear_regression,batlik,france.csv,4,1919,11,0.040027547813366204,0.14893021675661755,0.19702934184197704
improved_v8,cart,batlik,france.csv,4,1919,11,0.022736528384003245,0.07943659539783926,0.10277069137101763
baseline_lr,linear_regression,batlik,france.csv,5,1919,11,0.03734710011079537,0.14022596766629886,0.19063812767259286
improved_v8,cart,batlik,france.csv,5,1919,11,0.02326298183057185,0.08088229309727388,0.10322766286790966
